,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
1508335D US,22/Jul/2010,21/Oct/2010,30/Sep/2010,22/Jul/2010,1526.4896,13.38873792,Travel & Leisure,Travel & Leisure,0.008115419296663484,0.023444544634806164,1.3683241252302025,0.9841184387617766,0.030582910383908878
1508335D US,21/Oct/2010,17/Feb/2011,31/Dec/2010,21/Oct/2010,1513.0734,8.809090994,Travel & Leisure,Travel & Leisure,-0.0077319587628866815,0.0,1.4957983193277309,0.9228804902962208,0.02540444458285442
1519128D US,21/May/2010,23/Jul/2010,30/Jun/2010,21/May/2010,1653.2656,16.79032149,Technology,Software & Computer Services,-0.0037664783427495685,0.07909604519774005,1.1662153163152054,0.9160861344804396,0.02227959093962762
1519128D US,23/Jul/2010,22/Oct/2010,30/Sep/2010,23/Jul/2010,1923.9757,15.83434029,Technology,Software & Computer Services,-0.02409638554216853,0.013769363166953541,1.1487115381719053,0.9750494945654311,0.01853232836735295
1519128D US,22/Oct/2010,28/Jan/2011,31/Dec/2010,22/Oct/2010,1969.0764,13.24754494,Technology,Software & Computer Services,0.0321489001692048,0.030456852791878264,1.1407732117462506,1.1548238680906298,0.01746839892353805
1536637D US,28/Apr/2010,26/Jan/2011,30/Jun/2010,28/Apr/2010,557.4565,3.408619686,Basic Resources,Forestry & Paper,0.0009208103130755596,0.1620626151012894,2.5689288437612876,1.0665130448367441,0.02341838452152502
1539941D US,04/Feb/2010,04/May/2010,31/Mar/2010,04/Feb/2010,13536.5899,57.6485316,Oil & Gas,"Oil Equipment, Services & Distribution",-0.0066225165562914245,0.019867549668874274,1.404740200546946,1.0058403634003894,0.014405032574420143
1539941D US,04/May/2010,04/Aug/2010,30/Jun/2010,04/May/2010,15047.5113,46.61778477,Oil & Gas,"Oil Equipment, Services & Distribution",0.01261034047919285,0.024590163934426368,1.549248732802317,1.0175156723786378,0.010101823721566086
1539941D US,04/Aug/2010,03/Nov/2010,30/Sep/2010,04/Aug/2010,13944.6907,63.96223478,Oil & Gas,"Oil Equipment, Services & Distribution",-0.006727828746177278,0.004892966360856343,1.144404197039321,1.0664037720795485,0.013365083780004734
1539941D US,03/Nov/2010,03/Feb/2011,31/Dec/2010,03/Nov/2010,15545.9812,45.49097672,Oil & Gas,"Oil Equipment, Services & Distribution",0.00120264582080587,0.0,1.2360845887262182,1.0521943125250328,0.010947234491146726
1541931D US,27/Jan/2010,21/Apr/2010,31/Mar/2010,27/Jan/2010,6258.9245,83.48911690000001,Technology,Technology Hardware & Equipment,0.20634920634920628,0.23809523809523814,1.4904450625869263,0.9690844787846551,0.016194163679679664
1541931D US,21/Apr/2010,21/Jul/2010,30/Jun/2010,21/Apr/2010,7955.1372,124.871743,Technology,Technology Hardware & Equipment,0.13652694610778449,0.1610778443113774,1.5429075934949488,1.0600178218859748,0.016134227093364407
1541931D US,21/Jul/2010,20/Oct/2010,30/Sep/2010,21/Jul/2010,8539.8928,174.3037376,Technology,Technology Hardware & Equipment,0.09940357852882697,0.09542743538767406,1.382929985912428,1.0608638038842189,0.02174204503178797
1541931D US,20/Oct/2010,26/Jan/2011,31/Dec/2010,20/Oct/2010,9063.099,246.03347599999998,Technology,Technology Hardware & Equipment,0.0505095259193622,0.04962339388568915,1.3608980488698095,1.008712129706456,0.020542650240096758
1544310D US,11/May/2010,04/Aug/2010,30/Jun/2010,11/May/2010,947.6256,3.178268262,Food & Beverage,Food Producers,-0.09292035398230081,-0.07458912768647274,0.94,0.8468085106382978,0.019333895644477104
